"Order","Column","Units","Class","Notes"
263,"CRCon_Zn_sd_kg_kg_DM","kg_kg_DM","logical","Crop_residue_content_zinc_standard_deviation"
264,"CRCon_Zn_SE_kg_kg_DM","kg_kg_DM","numeric","Crop_residue_content_zinc_standard_error"
265,"CRCon_Zn_LSD_kg_kg_DM","kg_kg_DM","numeric","Crop_residue_content_zinc_least_significant_difference_(5%)"
266,"AGCon_Prot_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_protein_mean"
267,"AGCon_Prot_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_protein_standard_deviation"
268,"AGCon_Prot_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_protein_standard_error"
269,"AGCon_Prot_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_protein_least_significant_difference_(5%)"
270,"AGCon_N_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_nitrogen_mean"
271,"AGCon_N_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_nitrogen_standard_deviation"
272,"AGCon_N_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_nitrogen_standard_error"
273,"AGCon_N_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_nitrogen_least_significant_difference_(5%)"
274,"AGCon_P_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_phosphorus_mean"
275,"AGCon_P_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_phosphorus_standard_deviation"
276,"AGCon_P_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_phosphorus_standard_error"
277,"AGCon_P_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_phosphorus_least_significant_difference_(5%)"
278,"AGCon_K_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_potassium_mean"
279,"AGCon_K_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_potassium_standard_deviation"
280,"AGCon_K_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_potassium_standard_error"
281,"AGCon_K_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_potassium_least_significant_difference_(5%)"
282,"AGCon_S_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_sulphur_mean"
283,"AGCon_S_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_sulphur_standard_deviation"
284,"AGCon_S_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_sulphur_standard_error"
285,"AGCon_S_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_sulphur_least_significant_difference_(5%)"
286,"AGCon_Ca_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_calcium_mean"
287,"AGCon_Ca_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_calcium_standard_deviation"
288,"AGCon_Ca_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_calcium_standard_error"
289,"AGCon_Ca_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_calcium_least_significant_difference_(5%)"
290,"AGCon_Mg_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_magnesium_mean"
291,"AGCon_Mg_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_magnesium_standard_deviation"
292,"AGCon_Mg_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_magnesium_standard_error"
293,"AGCon_Mg_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_magnesium_least_significant_difference_(5%)"
294,"AGCon_B_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_boron_mean"
295,"AGCon_B_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_boron_standard_deviation"
296,"AGCon_B_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_boron_standard_error"
297,"AGCon_B_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_boron_least_significant_difference_(5%)"
298,"AGCon_Cl_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_chlorine_mean"
299,"AGCon_Cl_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_chlorine_standard_deviation"
300,"AGCon_Cl_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_chlorine_standard_error"
301,"AGCon_Cl_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_chlorine_least_significant_difference_(5%)"
302,"AGCon_Cu_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_copper_mean"
303,"AGCon_Cu_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_copper_standard_deviation"
304,"AGCon_Cu_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_copper_standard_error"
305,"AGCon_Cu_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_copper_least_significant_difference_(5%)"
306,"AGCon_Fe_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_iron_mean"
307,"AGCon_Fe_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_iron_standard_deviation"
308,"AGCon_Fe_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_iron_standard_error"
309,"AGCon_Fe_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_iron_least_significant_difference_(5%)"
310,"AGCon_Mn_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_manganese_mean"
311,"AGCon_Mn_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_manganese_standard_deviation"
312,"AGCon_Mn_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_manganese_standard_error"
313,"AGCon_Mn_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_manganese_least_significant_difference_(5%)"
314,"AGCon_Mo_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_molybdenum_mean"
315,"AGCon_Mo_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_molybdenum_standard_deviation"
316,"AGCon_Mo_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_molybdenum_standard_error"
317,"AGCon_Mo_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_molybdenum_least_significant_difference_(5%)"
318,"AGCon_Zn_mean_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_zinc_mean"
319,"AGCon_Zn_sd_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_zinc_standard_deviation"
320,"AGCon_Zn_SE_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_zinc_standard_error"
321,"AGCon_Zn_LSD_kg_kg_DM","kg_kg_DM","logical","Above_ground_content_zinc_least_significant_difference_(5%)"
322,"CP_Up_N_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_nitrogen_mean"
323,"CP_Up_N_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_nitrogen_standard_deviation"
324,"CP_Up_N_SE_kg_ha","kg_ha","numeric","Crop_product_uptake_nitrogen_standard_error"
325,"CP_Up_N_LSD_kg_ha","kg_ha","numeric","Crop_product_uptake_nitrogen_least_significant_difference_(5%)"
326,"CP_Up_P_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_phosphorus_mean"
327,"CP_Up_P_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_phosphorus_standard_deviation"
328,"CP_Up_P_SE_kg_ha","kg_ha","numeric","Crop_product_uptake_phosphorus_standard_error"
329,"CP_Up_P_LSD_kg_ha","kg_ha","numeric","Crop_product_uptake_phosphorus_least_significant_difference_(5%)"
330,"CP_Up_K_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_potassium_mean"
331,"CP_Up_K_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_potassium_standard_deviation"
332,"CP_Up_K_SE_kg_ha","kg_ha","numeric","Crop_product_uptake_potassium_standard_error"
333,"CP_Up_K_LSD_kg_ha","kg_ha","numeric","Crop_product_uptake_potassium_least_significant_difference_(5%)"
334,"CP_Up_S_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_sulphur_mean"
335,"CP_Up_S_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_sulphur_standard_deviation"
336,"CP_Up_S_SE_kg_ha","kg_ha","numeric","Crop_product_uptake_sulphur_standard_error"
337,"CP_Up_S_LSD_kg_ha","kg_ha","logical","Crop_product_uptake_sulphur_least_significant_difference_(5%)"
338,"CP_Up_Ca_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_calcium_mean"
339,"CP_Up_Ca_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_calcium_standard_deviation"
340,"CP_Up_Ca_SE_kg_ha","kg_ha","logical","Crop_product_uptake_calcium_standard_error"
341,"CP_Up_Ca_LSD_kg_ha","kg_ha","logical","Crop_product_uptake_calcium_least_significant_difference_(5%)"
342,"CP_Up_Mg_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_magnesium_mean"
343,"CP_Up_Mg_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_magnesium_standard_deviation"
344,"CP_Up_Mg_SE_kg_ha","kg_ha","logical","Crop_product_uptake_magnesium_standard_error"
345,"CP_Up_Mg_LSD_kg_ha","kg_ha","logical","Crop_product_uptake_magnesium_least_significant_difference_(5%)"
346,"CP_Up_B_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_boron_mean"
347,"CP_Up_B_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_boron_standard_deviation"
348,"CP_Up_B_SE_kg_ha","kg_ha","logical","Crop_product_uptake_boron_standard_error"
349,"CP_Up_B_LSD_kg_ha","kg_ha","logical","Crop_product_uptake_boron_least_significant_difference_(5%)"
350,"CP_Up_Cl_mean_kg_ha","kg_ha","logical","Crop_product_uptake_chlorine_mean"
351,"CP_Up_Cl_sd_kg_ha","kg_ha","logical","Crop_product_uptake_chlorine_standard_deviation"
352,"CP_Up_Cl_SE_kg_ha","kg_ha","logical","Crop_product_uptake_chlorine_standard_error"
353,"CP_Up_Cl_LSD_kg_ha","kg_ha","logical","Crop_product_uptake_chlorine_least_significant_difference_(5%)"
354,"CP_Up_Cu_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_copper_mean"
355,"CP_Up_Cu_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_copper_standard_deviation"
356,"CP_Up_Cu_SE_kg_ha","kg_ha","numeric","Crop_product_uptake_copper_standard_error"
357,"CP_Up_Cu_LSD_kg_ha","kg_ha","logical","Crop_product_uptake_copper_least_significant_difference_(5%)"
358,"CP_Up_Fe_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_iron_mean"
359,"CP_Up_Fe_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_iron_standard_deviation"
360,"CP_Up_Fe_SE_kg_ha","kg_ha","numeric","Crop_product_uptake_iron_standard_error"
361,"CP_Up_Fe_LSD_kg_ha","kg_ha","logical","Crop_product_uptake_iron_least_significant_difference_(5%)"
362,"CP_Up_Mn_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_manganese_mean"
363,"CP_Up_Mn_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_manganese_standard_deviation"
364,"CP_Up_Mn_SE_kg_ha","kg_ha","numeric","Crop_product_uptake_manganese_standard_error"
365,"CP_Up_Mn_LSD_kg_ha","kg_ha","logical","Crop_product_uptake_manganese_least_significant_difference_(5%)"
366,"CP_Up_Mo_mean_kg_ha","kg_ha","logical","Crop_product_uptake_molybdenum_mean"
367,"CP_Up_Mo_sd_kg_ha","kg_ha","logical","Crop_product_uptake_molybdenum_standard_deviation"
368,"CP_Up_Mo_SE_kg_ha","kg_ha","logical","Crop_product_uptake_molybdenum_standard_error"
369,"CP_Up_Mo_LSD_kg_ha","kg_ha","logical","Crop_product_uptake_molybdenum_least_significant_difference_(5%)"
370,"CP_Up_Zn_mean_kg_ha","kg_ha","numeric","Crop_product_uptake_zinc_mean"
371,"CP_Up_Zn_sd_kg_ha","kg_ha","numeric","Crop_product_uptake_zinc_standard_deviation"
372,"CP_Up_Zn_SE_kg_ha","kg_ha","numeric","Crop_product_uptake_zinc_standard_error"
373,"CP_Up_Zn_LSD_kg_ha","kg_ha","logical","Crop_product_uptake_zinc_least_significant_difference_(5%)"
374,"CR_Up_N_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_nitrogen_mean"
375,"CR_Up_N_sd_kg_ha","kg_ha","numeric","Crop_residue_uptake_nitrogen_standard_deviation"
376,"CR_Up_N_SE_kg_ha","kg_ha","numeric","Crop_residue_uptake_nitrogen_standard_error"
377,"CR_Up_N_LSD_kg_ha","kg_ha","numeric","Crop_residue_uptake_nitrogen_least_significant_difference_(5%)"
378,"CR_Up_P_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_phosphorus_mean"
379,"CR_Up_P_sd_kg_ha","kg_ha","numeric","Crop_residue_uptake_potassium_standard_deviation"
380,"CR_Up_P_SE_kg_ha","kg_ha","numeric","Crop_residue_uptake_potassium_standard_error"
381,"CR_Up_P_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_potassium_least_significant_difference_(5%)"
382,"CR_Up_K_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_potassium_mean"
383,"CR_Up_K_sd_kg_ha","kg_ha","numeric","Crop_residue_uptake_potassium_standard_deviation"
384,"CR_Up_K_SE_kg_ha","kg_ha","numeric","Crop_residue_uptake_potassium_standard_error"
385,"CR_Up_K_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_potassium_least_significant_difference_(5%)"
386,"CR_Up_S_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_sulphur_mean"
387,"CR_Up_S_sd_kg_ha","kg_ha","numeric","Crop_residue_uptake_sulphur_standard_deviation"
388,"CR_Up_S_SE_kg_ha","kg_ha","numeric","Crop_residue_uptake_sulphur_standard_error"
389,"CR_Up_S_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_sulphur_least_significant_difference_(5%)"
390,"CR_Up_Ca_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_calcium_mean"
391,"CR_Up_Ca_sd_kg_ha","kg_ha","logical","Crop_residue_uptake_calcium_standard_deviation"
392,"CR_Up_Ca_SE_kg_ha","kg_ha","logical","Crop_residue_uptake_calcium_standard_error"
393,"CR_Up_Ca_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_calcium_least_significant_difference_(5%)"
394,"CR_Up_Mg_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_magnesium_mean"
395,"CR_Up_Mg_sd_kg_ha","kg_ha","logical","Crop_residue_uptake_magnesium_standard_deviation"
396,"CR_Up_Mg_SE_kg_ha","kg_ha","logical","Crop_residue_uptake_magnesium_standard_error"
397,"CR_Up_Mg_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_magnesium_least_significant_difference_(5%)"
398,"CR_Up_B_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_boron_mean"
399,"CR_Up_B_sd_kg_ha","kg_ha","logical","Crop_residue_uptake_boron_standard_deviation"
400,"CR_Up_B_SE_kg_ha","kg_ha","logical","Crop_residue_uptake_boron_standard_error"
401,"CR_Up_B_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_boron_least_significant_difference_(5%)"
402,"CR_Up_Cl_mean_kg_ha","kg_ha","logical","Crop_residue_uptake_chlorine_mean"
403,"CR_Up_Cl_sd_kg_ha","kg_ha","logical","Crop_residue_uptake_chlorine_standard_deviation"
404,"CR_Up_Cl_SE_kg_ha","kg_ha","logical","Crop_residue_uptake_chlorine_standard_error"
405,"CR_Up_Cl_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_chlorine_least_significant_difference_(5%)"
406,"CR_Up_Cu_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_copper_mean"
407,"CR_Up_Cu_sd_kg_ha","kg_ha","logical","Crop_residue_uptake_copper_standard_deviation"
408,"CR_Up_Cu_SE_kg_ha","kg_ha","logical","Crop_residue_uptake_copper_standard_error"
409,"CR_Up_Cu_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_copper_least_significant_difference_(5%)"
410,"CR_Up_Fe_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_iron_mean"
411,"CR_Up_Fe_sd_kg_ha","kg_ha","logical","Crop_residue_uptake_iron_standard_deviation"
412,"CR_Up_Fe_SE_kg_ha","kg_ha","logical","Crop_residue_uptake_iron_standard_error"
413,"CR_Up_Fe_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_iron_least_significant_difference_(5%)"
414,"CR_Up_Mn_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_manganese_mean"
415,"CR_Up_Mn_sd_kg_ha","kg_ha","logical","Crop_residue_uptake_manganese_standard_deviation"
416,"CR_Up_Mn_SE_kg_ha","kg_ha","logical","Crop_residue_uptake_manganese_standard_error"
417,"CR_Up_Mn_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_manganese_least_significant_difference_(5%)"
418,"CR_Up_Mo_mean_kg_ha","kg_ha","logical","Crop_residue_uptake_molybdenum_mean"
419,"CR_Up_Mo_sd_kg_ha","kg_ha","logical","Crop_residue_uptake_molybdenum_standard_deviation"
420,"CR_Up_Mo_SE_kg_ha","kg_ha","logical","Crop_residue_uptake_molybdenum_standard_error"
421,"CR_Up_Mo_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_molybdenum_least_significant_difference_(5%)"
422,"CR_Up_Zn_mean_kg_ha","kg_ha","numeric","Crop_residue_uptake_zinc_mean"
423,"CR_Up_Zn_sd_kg_ha","kg_ha","logical","Crop_residue_uptake_zinc_standard_deviation"
424,"CR_Up_Zn_SE_kg_ha","kg_ha","logical","Crop_residue_uptake_zinc_standard_error"
425,"CR_Up_Zn_LSD_kg_ha","kg_ha","logical","Crop_residue_uptake_zinc_least_significant_difference_(5%)"
426,"CPCon_Prot_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_protein_method"
427,"CPCon_N_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_nitrogen_method"
428,"CPCon_P_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_phosphorus_method"
429,"CPCon_K_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_potassium_method"
430,"CPCon_S_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_sulphur_method"
431,"CPCon_Ca_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_calcium_method"
432,"CPCon_Mg_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_magnesium_method"
433,"CPCon_B_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_boron_method"
434,"CPCon_Cl_method_Name_nutrient_test","Name_nutrient_test","logical","Crop_product_content_chlorine_method"
435,"CPCon_Cu_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_copper_method"
436,"CPCon_Fe_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_iron_method"
437,"CPCon_Mn_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_manganese_method"
438,"CPCon_Mo_method_Name_nutrient_test","Name_nutrient_test","logical","Crop_product_content_molybdenum_method"
439,"CPCon_Zn_method_Name_nutrient_test","Name_nutrient_test","character","Crop_product_content_zinc_method"
440,"CRCon_Prot_method_Name_nutrient_test","Name_nutrient_test","logical","Crop_residue_content_protein_method"
441,"CRCon_N_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_nitrogen_method"
442,"CRCon_P_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_phosphorus_method"
443,"CRCon_K_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_potassium_method"
444,"CRCon_S_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_sulphur_method"
445,"CRCon_Ca_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_calcium_method"
446,"CRCon_Mg_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_magnesium_method"
447,"CRCon_B_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_boron_method"
448,"CRCon_Cl_method_Name_nutrient_test","Name_nutrient_test","logical","Crop_residue_content_chlorine_method"
449,"CRCon_Cu_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_copper_method"
450,"CRCon_Fe_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_iron_method"
451,"CRCon_Mn_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_manganese_method"
452,"CRCon_Mo_method_Name_nutrient_test","Name_nutrient_test","logical","Crop_residue_content_molybdenum_method"
453,"CRCon_Zn_method_Name_nutrient_test","Name_nutrient_test","character","Crop_residue_content_zinc_method"
